Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Casillas,95,toty,Spain,97,90,73,98,70,92,https://wefut.com/player/13/11568/casillas
Gianluigi Buffon,92,goldblue,Italy,93,88,70,90,65,94,https://wefut.com/player/13/13081/gianluigi-buffon
Victor Valdés,89,goldblue,Spain,88,87,81,89,63,94,https://wefut.com/player/13/13235/victor-valdes
Federico Marchetti,89,goldblue,Italy,91,87,69,93,60,89,https://wefut.com/player/13/13074/federico-marchetti
René Adler,89,goldblue,Germany,93,88,75,92,59,91,https://wefut.com/player/13/13050/rene-adler
Petr Čech,89,goldblue,Czech Republic,90,87,78,91,50,90,https://wefut.com/player/13/12996/petr-cech
Manuel Neuer,89,motm,Germany,93,85,91,92,57,87,https://wefut.com/player/13/12873/manuel-neuer
Casillas,89,goldrare,Spain,91,83,69,92,66,85,https://wefut.com/player/13/149/casillas
Manuel Neuer,88,goldif,Germany,92,83,91,91,57,85,https://wefut.com/player/13/12793/manuel-neuer
Mickaël Landreau,87,goldblue,France,87,84,87,91,36,85,https://wefut.com/player/13/13162/mickael-landreau
Igor Akinfeev,87,goldif,Russia,92,85,82,92,56,86,https://wefut.com/player/13/14234/igor-akinfeev
Hugo Lloris,87,goldif,France,92,87,75,92,68,87,https://wefut.com/player/13/12585/hugo-lloris
Manuel Neuer,87,goldrare,Germany,90,81,91,89,57,82,https://wefut.com/player/13/3743/manuel-neuer
Gianluigi Buffon,87,goldrare,Italy,89,83,67,86,61,89,https://wefut.com/player/13/43/gianluigi-buffon
Thibaut Courtois,86,goldblue,Belgium,84,94,67,90,55,87,https://wefut.com/player/13/13224/thibaut-courtois
Artur Moraes,86,goldblue,Brazil,87,87,79,86,51,88,https://wefut.com/player/13/12926/artur-moraes
Igor Akinfeev,86,motm,Russia,91,83,82,91,56,84,https://wefut.com/player/13/13142/igor-akinfeev
Steve Mandanda,86,goldif,France,89,86,81,89,53,88,https://wefut.com/player/13/12812/steve-mandanda
Hugo Lloris,86,goldrare,France,90,85,75,91,68,84,https://wefut.com/player/13/3811/hugo-lloris
Kevin Trapp,85,goldblue,Germany,89,82,79,87,58,85,https://wefut.com/player/13/13034/kevin-trapp
Samir Handanovič,85,goldif,Slovenia,89,85,80,89,57,90,https://wefut.com/player/13/12978/samir-handanovic
René Adler,85,goldif,Germany,88,83,72,88,56,86,https://wefut.com/player/13/12308/rene-adler
Igor Akinfeev,85,goldif,Russia,89,81,82,90,56,82,https://wefut.com/player/13/11353/igor-akinfeev
