Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Lionel Messi,98,CF,toty,Argentina,97,96,92,99,48,76,https://wefut.com/player/13/11598/lionel-messi
Lionel Messi,97,CF,goldblue,Argentina,96,96,90,98,47,75,https://wefut.com/player/13/13232/lionel-messi
Cristiano Ronaldo,97,LW,toty,Portugal,96,96,86,97,53,92,https://wefut.com/player/13/11599/cristiano-ronaldo
Cristiano Ronaldo,96,LW,goldblue,Portugal,95,96,85,95,52,91,https://wefut.com/player/13/13233/cristiano-ronaldo
Iniesta,96,CM,toty,Spain,79,76,99,97,71,60,https://wefut.com/player/13/11594/iniesta
Lionel Messi,96,CF,goldif,Argentina,94,92,86,97,45,74,https://wefut.com/player/13/11655/lionel-messi
Iniesta,95,CM,goldblue,Spain,79,75,97,97,71,60,https://wefut.com/player/13/13231/iniesta
Xavi,95,CM,toty,Spain,71,79,98,93,72,58,https://wefut.com/player/13/11596/xavi
Lionel Messi,95,CF,goldif,Argentina,93,90,85,96,44,73,https://wefut.com/player/13/11064/lionel-messi
Xavi,94,CM,goldblue,Spain,70,78,97,91,71,58,https://wefut.com/player/13/13230/xavi
Zlatan Ibrahimović,94,ST,goldblue,Sweden,83,96,86,92,56,85,https://wefut.com/player/13/13168/zlatan-ibrahimovic
Franck Ribéry,94,LM,goldblue,France,96,89,91,96,53,62,https://wefut.com/player/13/13039/franck-ribery
Falcao,94,ST,toty,Colombia,83,90,63,83,57,96,https://wefut.com/player/13/11597/falcao
Cristiano Ronaldo,94,LW,goldif,Portugal,94,93,83,94,50,90,https://wefut.com/player/13/12829/cristiano-ronaldo
Lionel Messi,94,CF,goldrare,Argentina,93,88,84,96,43,72,https://wefut.com/player/13/2980/lionel-messi
Falcao,93,ST,goldblue,Colombia,82,89,62,83,56,95,https://wefut.com/player/13/13234/falcao
Gareth Bale,93,LM,goldblue,Wales,96,93,89,93,81,79,https://wefut.com/player/13/13008/gareth-bale
Robin van Persie,93,ST,goldblue,Netherlands,84,96,88,91,55,77,https://wefut.com/player/13/13002/robin-van-persie
Xabi Alonso,93,CM,toty,Spain,62,79,93,76,87,72,https://wefut.com/player/13/11595/xabi-alonso
Sergio Ramos,93,CB,toty,Spain,84,66,80,76,91,95,https://wefut.com/player/13/11566/sergio-ramos
Cristiano Ronaldo,93,LW,goldif,Portugal,93,92,81,93,49,89,https://wefut.com/player/13/11647/cristiano-ronaldo
Xabi Alonso,92,CM,goldblue,Spain,62,79,92,75,85,72,https://wefut.com/player/13/13229/xabi-alonso
Sergio Ramos,92,CB,goldblue,Spain,83,65,79,76,90,95,https://wefut.com/player/13/13226/sergio-ramos
Thiago Silva,92,CB,goldblue,Brazil,87,68,86,79,94,90,https://wefut.com/player/13/13178/thiago-silva
Edinson Cavani,92,ST,goldblue,Uruguay,91,94,75,86,70,90,https://wefut.com/player/13/13120/edinson-cavani
Lionel Messi,98,CF,toty,Argentina,97,94,89,93,54,70,https://wefut.com/player/13/13119/antonio-di-natale
Philipp Lahm,92,RB,goldblue,Germany,87,62,89,86,89,72,https://wefut.com/player/13/13035/philipp-lahm
Piqué,92,CB,toty,Spain,66,57,81,72,92,88,https://wefut.com/player/13/11565/pique
Cristiano Ronaldo,92,LW,goldrare,Portugal,92,90,80,92,48,87,https://wefut.com/player/13/455/cristiano-ronaldo
Piqué,91,CB,goldblue,Spain,66,56,80,70,91,86,https://wefut.com/player/13/13227/pique
Marek Hamšik,91,CAM,goldblue,Slovakia,82,89,91,90,77,84,https://wefut.com/player/13/13118/marek-hamsik
